event_update_time;milemarker;event_update_type;event_id;classification;status
2023-11-11 11:25:59.388332-06:00;55.6;closed;344145;disabledVehicle;Closed
2023-11-11 11:25:59.388332-06:00;55.6;new;344145;disabledVehicle;Closed
2023-11-11 10:58:03.013844-06:00;54.2;closed;344227;disabledVehicle;Closed
2023-11-11 10:54:19.660820-06:00;55.2;new;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:54:19.660820-06:00;54.2;update;344227;disabledVehicle;Active
2023-11-11 10:50:12.583669-06:00;55.2;closed;344224;disabledVehicle;Closed
2023-11-11 10:48:53.047110-06:00;55.2;new;344224;disabledVehicle;Active
2023-11-11 10:48:53.047110-06:00;55.2;update;344224;disabledVehicle;Active
2023-11-11 10:48:53.047110-06:00;55.2;update;344224;disabledVehicle;Active
2023-11-11 10:48:53.047110-06:00;55.2;update;344224;disabledVehicle;Active
2023-11-11 10:48:53.047110-06:00;55.2;update;344224;disabledVehicle;Active
2023-11-11 10:48:53.047110-06:00;55.2;update;344224;disabledVehicle;Active
2023-11-11 10:47:46.558411-06:00;55.6;update;344145;disabledVehicle;Unresolved
2023-11-11 10:47:46.558411-06:00;55.6;update;344145;disabledVehicle;Unresolved
2023-11-11 10:47:46.558411-06:00;55.6;update;344145;disabledVehicle;Unresolved
2023-11-11 10:43:19.040432-06:00;55.6;update;344145;disabledVehicle;Active
2023-11-11 08:12:21.289534-06:00;59.0;new;344207;abandonedVehicle;Active
2023-11-11 08:12:21.289534-06:00;59.0;update;344207;abandonedVehicle;Active
2023-11-11 08:12:21.289534-06:00;59.0;update;344207;abandonedVehicle;Active
2023-11-11 08:12:21.289534-06:00;59.0;update;344207;abandonedVehicle;Active
2023-11-11 06:31:56.848353-06:00;62.2;closed;344196;disabledVehicle;Closed
2023-11-11 04:53:40.687721-06:00;60.6;closed;344201;disabledVehicle;Closed
2023-11-11 04:53:40.687721-06:00;60.6;new;344201;disabledVehicle;Closed
2023-11-11 02:38:06.786367-06:00;60.2;new;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.2;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.2;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.2;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
2023-11-11 02:38:06.786367-06:00;60.6;update;344201;disabledVehicle;Active
