event_update_time;milemarker;event_update_type;event_id;classification;status
2024-05-08 16:22:49.141567-05:00;67.8;closed;366750;disabledVehicle;Closed
2024-05-08 16:22:49.141567-05:00;67.8;new;366750;disabledVehicle;Closed
2024-05-08 15:50:07.430711-05:00;67.8;update;366750;disabledVehicle;Unresolved
2024-05-08 15:50:07.430711-05:00;67.8;update;366750;disabledVehicle;Unresolved
2024-05-08 15:50:07.430711-05:00;67.8;update;366750;disabledVehicle;Unresolved
2024-05-08 15:46:22.937959-05:00;67.8;new;366750;disabledVehicle;Active
2024-05-08 15:46:22.937959-05:00;67.8;update;366750;disabledVehicle;Active
2024-05-08 15:46:22.937959-05:00;67.8;update;366750;disabledVehicle;Active
2024-05-08 15:46:22.937959-05:00;67.8;update;366750;disabledVehicle;Active
2024-05-08 13:03:38.416397-05:00;59.4;closed;366716;incident;Closed
2024-05-08 13:03:38.416397-05:00;59.4;new;366716;incident;Closed
2024-05-08 13:02:24.532403-05:00;61.2;closed;366679;disabledVehicle;Closed
2024-05-08 13:02:24.532403-05:00;61.2;new;366679;disabledVehicle;Closed
2024-05-08 13:01:25.109656-05:00;59.0;closed;366722;abandonedVehicle;Closed
2024-05-08 13:01:25.109656-05:00;59.0;new;366722;abandonedVehicle;Closed
2024-05-08 11:10:53.615865-05:00;59.0;update;366722;abandonedVehicle;Unresolved
2024-05-08 11:10:53.615865-05:00;59.0;update;366722;abandonedVehicle;Unresolved
2024-05-08 11:10:53.615865-05:00;59.0;update;366722;abandonedVehicle;Unresolved
2024-05-08 10:55:17.185657-05:00;59.0;new;366722;disabledVehicle;Active
2024-05-08 10:55:17.185657-05:00;59.0;update;366722;disabledVehicle;Active
2024-05-08 10:55:17.185657-05:00;59.0;update;366722;disabledVehicle;Active
2024-05-08 10:55:17.185657-05:00;59.0;update;366722;disabledVehicle;Active
2024-05-08 10:55:17.185657-05:00;59.0;update;366722;disabledVehicle;Active
2024-05-08 10:55:17.185657-05:00;59.0;update;366722;abandonedVehicle;Active
2024-05-08 10:25:06.225115-05:00;59.4;update;366716;incident;Unresolved
2024-05-08 10:25:06.225115-05:00;59.4;update;366716;incident;Unresolved
2024-05-08 10:25:06.225115-05:00;59.4;update;366716;incident;Unresolved
2024-05-08 10:20:17.160794-05:00;59.6;new;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.6;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.4;update;366716;disabledVehicle;Active
2024-05-08 10:20:17.160794-05:00;59.4;update;366716;disabledVehicle;Active
2024-05-08 09:46:29.588788-05:00;60.4;closed;366701;incident;Closed
2024-05-08 08:56:35.866305-05:00;60.4;new;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
2024-05-08 08:56:35.866305-05:00;60.4;update;366701;incident;Active
