event_update_time;milemarker;event_update_type;event_id;classification;status
2023-08-12 19:19:25.395544-05:00;56.0;closed;332028;incident;Closed
2023-08-12 19:13:24.058270-05:00;56.0;new;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 19:13:24.058270-05:00;56.0;update;332028;incident;Active
2023-08-12 18:36:16.698889-05:00;57.2;closed;331942;abandonedVehicle;Closed
2023-08-12 18:29:06.750983-05:00;66.0;closed;332020;incident;Closed
2023-08-12 18:19:15.777831-05:00;66.0;new;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 18:19:15.777831-05:00;66.0;update;332020;incident;Active
2023-08-12 15:45:45.269574-05:00;55.8;closed;331998;disabledVehicle;Closed
2023-08-12 15:44:05.918793-05:00;55.8;new;331998;disabledVehicle;Active
2023-08-12 15:41:03.997273-05:00;64.8;closed;331995;disabledVehicle;Closed
2023-08-12 15:30:49.738928-05:00;64.8;new;331995;disabledVehicle;Active
2023-08-12 15:30:49.738928-05:00;64.8;update;331995;disabledVehicle;Active
2023-08-12 15:30:49.738928-05:00;64.8;update;331995;disabledVehicle;Active
2023-08-12 15:30:49.738928-05:00;64.8;update;331995;disabledVehicle;Active
2023-08-12 15:30:49.738928-05:00;64.8;update;331995;disabledVehicle;Active
2023-08-12 15:30:49.738928-05:00;64.8;update;331995;disabledVehicle;Active
2023-08-12 15:18:55.892929-05:00;67.6;closed;331987;disabledVehicle;Closed
2023-08-12 14:53:33.709558-05:00;67.6;update;331987;disabledVehicle;Unresolved
2023-08-12 14:53:33.709558-05:00;67.6;update;331987;disabledVehicle;Unresolved
2023-08-12 14:53:33.709558-05:00;67.6;update;331987;disabledVehicle;Unresolved
2023-08-12 14:46:19.689760-05:00;68.0;new;331987;disabledVehicle;Active
2023-08-12 14:46:19.689760-05:00;67.6;update;331987;disabledVehicle;Active
2023-08-12 14:46:19.689760-05:00;67.6;update;331987;disabledVehicle;Active
2023-08-12 14:46:19.689760-05:00;67.6;update;331987;disabledVehicle;Active
2023-08-12 13:58:34.484171-05:00;54.6;closed;331956;disabledVehicle;Closed
2023-08-12 11:30:08.209738-05:00;54.6;update;331956;disabledVehicle;Unresolved
2023-08-12 11:30:08.209738-05:00;54.6;update;331956;disabledVehicle;Unresolved
2023-08-12 11:30:08.209738-05:00;54.6;update;331956;disabledVehicle;Unresolved
2023-08-12 11:25:33.358038-05:00;54.6;new;331956;disabledVehicle;Active
2023-08-12 11:25:33.358038-05:00;54.6;update;331956;disabledVehicle;Active
2023-08-12 11:25:33.358038-05:00;54.6;update;331956;disabledVehicle;Active
2023-08-12 11:25:33.358038-05:00;54.6;update;331956;disabledVehicle;Active
2023-08-12 10:50:33.453069-05:00;54.2;update;331948;abandonedVehicle;Unresolved
2023-08-12 10:50:33.453069-05:00;54.2;update;331948;abandonedVehicle;Unresolved
2023-08-12 10:50:33.453069-05:00;54.2;update;331948;abandonedVehicle;Unresolved
2023-08-12 10:47:30.358855-05:00;54.2;new;331948;disabledVehicle;Active
2023-08-12 10:47:30.358855-05:00;54.2;update;331948;disabledVehicle;Active
2023-08-12 10:47:30.358855-05:00;54.2;update;331948;disabledVehicle;Active
2023-08-12 10:47:30.358855-05:00;54.2;update;331948;disabledVehicle;Active
2023-08-12 10:47:30.358855-05:00;54.2;update;331948;disabledVehicle;Active
2023-08-12 10:47:30.358855-05:00;54.2;update;331948;abandonedVehicle;Active
2023-08-12 10:34:54.787326-05:00;57.2;update;331942;abandonedVehicle;Unresolved
2023-08-12 10:34:54.787326-05:00;57.2;update;331942;abandonedVehicle;Unresolved
2023-08-12 10:34:54.787326-05:00;57.2;update;331942;abandonedVehicle;Unresolved
2023-08-12 10:11:44.858183-05:00;57.2;new;331942;disabledVehicle;Active
2023-08-12 10:11:44.858183-05:00;57.2;update;331942;disabledVehicle;Active
2023-08-12 10:11:44.858183-05:00;57.2;update;331942;disabledVehicle;Active
2023-08-12 10:11:44.858183-05:00;57.2;update;331942;disabledVehicle;Active
2023-08-12 10:11:44.858183-05:00;57.2;update;331942;disabledVehicle;Active
2023-08-12 10:11:44.858183-05:00;57.2;update;331942;abandonedVehicle;Active
2023-08-12 07:22:24.134548-05:00;54.0;closed;331915;incident;Closed
2023-08-12 07:14:25.227101-05:00;54.0;new;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
2023-08-12 07:14:25.227101-05:00;54.0;update;331915;incident;Active
