event_update_time;milemarker;event_update_type;event_id;classification;status
2023-12-05 20:27:35.485359-06:00;68.0;update;347174;disabledVehicle;Unresolved
2023-12-05 20:27:35.485359-06:00;68.0;update;347174;disabledVehicle;Unresolved
2023-12-05 20:27:35.485359-06:00;68.0;update;347174;disabledVehicle;Unresolved
2023-12-05 20:24:02.911263-06:00;68.0;new;347174;disabledVehicle;Active
2023-12-05 20:24:02.911263-06:00;68.0;update;347174;disabledVehicle;Active
2023-12-05 20:24:02.911263-06:00;68.0;update;347174;disabledVehicle;Active
2023-12-05 20:24:02.911263-06:00;68.0;update;347174;disabledVehicle;Active
2023-12-05 20:24:02.911263-06:00;68.0;update;347174;disabledVehicle;Active
2023-12-05 18:36:42.993014-06:00;61.6;closed;347084;abandonedVehicle;Closed
2023-12-05 18:36:32.758067-06:00;56.0;closed;347097;disabledVehicle;Closed
2023-12-05 18:02:27.717560-06:00;66.0;closed;347157;incident;Closed
2023-12-05 17:59:19.988843-06:00;66.0;new;347157;incident;Active
2023-12-05 16:43:43.859958-06:00;61.6;closed;347119;disabledVehicle;Closed
2023-12-05 16:42:33.282999-06:00;54.6;closed;347089;disabledVehicle;Closed
2023-12-05 16:21:28.279830-06:00;53.4;closed;347133;disabledVehicle;Closed
2023-12-05 16:02:56.581527-06:00;61.6;update;347119;disabledVehicle;Unresolved
2023-12-05 16:02:56.581527-06:00;61.6;update;347119;disabledVehicle;Unresolved
2023-12-05 16:02:56.581527-06:00;61.6;update;347119;disabledVehicle;Unresolved
2023-12-05 15:37:27.185138-06:00;53.4;new;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 15:37:27.185138-06:00;53.4;update;347133;disabledVehicle;Active
2023-12-05 13:37:27.056253-06:00;61.6;update;347119;disabledVehicle;Active
2023-12-05 13:28:35.729571-06:00;61.6;new;347119;disabledVehicle;Unconfirmed
2023-12-05 13:28:35.729571-06:00;61.6;update;347119;disabledVehicle;Unconfirmed
2023-12-05 13:28:35.729571-06:00;61.6;update;347119;disabledVehicle;Unconfirmed
2023-12-05 13:28:35.729571-06:00;61.6;update;347119;disabledVehicle;Unconfirmed
2023-12-05 11:57:40.438572-06:00;56.0;update;347097;disabledVehicle;Unresolved
2023-12-05 11:57:40.438572-06:00;56.0;update;347097;disabledVehicle;Unresolved
2023-12-05 11:57:40.438572-06:00;56.0;update;347097;disabledVehicle;Unresolved
2023-12-05 11:16:37.399783-06:00;56.0;new;347097;disabledVehicle;Active
2023-12-05 11:16:37.399783-06:00;56.0;update;347097;disabledVehicle;Active
2023-12-05 11:16:37.399783-06:00;56.0;update;347097;disabledVehicle;Active
2023-12-05 11:16:37.399783-06:00;56.0;update;347097;disabledVehicle;Active
2023-12-05 11:16:37.399783-06:00;56.0;update;347097;disabledVehicle;Active
2023-12-05 10:20:30.274310-06:00;60.4;closed;347086;abandonedVehicle;Closed
2023-12-05 09:27:49.984445-06:00;54.6;update;347089;disabledVehicle;Unresolved
2023-12-05 09:27:49.984445-06:00;54.6;update;347089;disabledVehicle;Unresolved
2023-12-05 09:27:49.984445-06:00;54.6;update;347089;disabledVehicle;Unresolved
2023-12-05 09:24:44.436005-06:00;54.6;new;347089;abandonedVehicle;Active
2023-12-05 09:24:44.436005-06:00;54.6;update;347089;abandonedVehicle;Active
2023-12-05 09:24:44.436005-06:00;54.6;update;347089;abandonedVehicle;Active
2023-12-05 09:24:44.436005-06:00;54.6;update;347089;abandonedVehicle;Active
2023-12-05 09:24:44.436005-06:00;54.6;update;347089;abandonedVehicle;Active
2023-12-05 09:15:33.777061-06:00;60.4;update;347086;abandonedVehicle;Unresolved
2023-12-05 09:15:33.777061-06:00;60.4;update;347086;abandonedVehicle;Unresolved
2023-12-05 09:15:33.777061-06:00;60.4;update;347086;abandonedVehicle;Unresolved
2023-12-05 09:13:34.155615-06:00;60.4;new;347086;abandonedVehicle;Active
2023-12-05 09:13:34.155615-06:00;60.4;update;347086;abandonedVehicle;Active
2023-12-05 09:13:34.155615-06:00;60.4;update;347086;abandonedVehicle;Active
2023-12-05 09:13:34.155615-06:00;60.4;update;347086;abandonedVehicle;Active
2023-12-05 09:11:01.789082-06:00;61.6;update;347084;abandonedVehicle;Unresolved
2023-12-05 09:11:01.789082-06:00;61.6;update;347084;abandonedVehicle;Unresolved
2023-12-05 09:11:01.789082-06:00;61.6;update;347084;abandonedVehicle;Unresolved
2023-12-05 09:07:09.347289-06:00;61.6;new;347084;abandonedVehicle;Active
2023-12-05 09:07:09.347289-06:00;61.6;update;347084;abandonedVehicle;Active
2023-12-05 09:07:09.347289-06:00;61.6;update;347084;abandonedVehicle;Active
2023-12-05 09:07:09.347289-06:00;61.6;update;347084;abandonedVehicle;Active
2023-12-05 08:22:18.397601-06:00;53.0;closed;347070;incident;Closed
2023-12-05 08:06:25.179689-06:00;53.0;new;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
2023-12-05 08:06:25.179689-06:00;53.0;update;347070;incident;Active
